,sku,UPC,alu,CAT,BRAND,name,year,color,alt_color,size,qty0,qty1,qty,cost,pSale,pMAP,pMSRP,pAmazon,pSWAP,fCreated,fRcvd,lRcvd,lSold,lEdit,VC,DCS,D,C,S,ssid,isid,UPC2
6840,9427,94899701575,W017G1B,Service/Ski/Brakes,Marker USA,BRAKE ROYAL FAMILY,18-19,BLACK,,90MM,0,2,2,,59.95,59.95,59.95,59.95,59.95,2020-02-22 16:34:48,,,2020-07-10 10:26:23,2020-07-10 10:38:42,MARUSA,SERSKIBRK,SER,SKI,BRK,2373425203859515120,2373437033742952176,94899701575
18117,24435,,W016G1B,Service/Ski/Brakes,Marker USA,BRAKES GRIFFON ETC.,,,,110MM,0,4,4,25.5,50.0,50.0,50.0,50.0,50.0,2008-12-04 00:00:00,2008-12-04 00:00:00,2018-01-19 00:00:00,2020-02-14 00:00:00,2020-07-10 10:38:42,MARUSA,SERSKIBRK,SER,SKI,BRK,7746470817659184880,7746472500002907888,
21032,29700,,T162805 DEMO,Service/Ski/Brakes,Fischer,BRAKE - POWER,13-DEC,,,88,0,3,3,,40.0,40.0,40.0,40.0,40.0,2020-03-14 15:27:59,,,2020-07-14 14:01:25,2020-07-14 14:01:58,FISCHE,SERSKIBRK,SER,SKI,BRK,-5471123649714886928,-5471110038929971472,
